Company Name,Estimated Size,Location,Website,LinkedIn URL,Decision Maker Title,Event Type Focus,Priority
EiR,20-50,London,eirassociates.com,https://linkedin.com/company/eir-associates,Director,Corporate events/Conferences,Medium
Mcap,20-50,London,mlTPupdates.com,https://linkedin.com/company/mcapp,Director,Experiential marketing,Low
First Event,20-50,UK,firstevent.co.uk,https://linkedin.com/company/first-event,Director,Corporate events/Incentives,High
19 Events,10-20,London,19events.co.uk,https://linkedin.com/company/19events,Director,Corporate events,Low
Goldflake Events,10-20,London,goldflakeevents.com,https://linkedin.com/company/goldflake-events,Director,Luxury corporate events,Medium
Alive Events,20-50,London,aliveevents.com,https://linkedin.com/company/alive-events,Director,Corporate events/Brand activations,Medium
Motive8,20-50,Bristol,motive8.co.uk,https://linkedin.com/company/motive8,Director,Corporate events/Team building,Medium
20 feet Events,10-20,London,20feetevents.com,https://linkedin.com/company/20-feet-events,Director,Creative events/Brand experiences,Medium
Innovision,50-100,London,innovisionworldwide.com,https://linkedin.com/company/innovision,CEO,Global events/Experiential,High
Cheryl移动,20-50,London,cherylkaur.com,https://linkedin.com/company/cheryl,Director,Events/Brand experiences,Low
Blaze,20-50,London,blaze.co.uk,https://linkedin.com/company/blaze,Director,Corporate events/Experiential,Medium
Mfx,20-50,London,mfx.co.uk,https://linkedin.com/company/mfx,Director,Events/Experiential,Medium
Splenda,20-50,London,splendagroup.com,https://linkedin.com/company/splenda,MD,Corporate events/Experiential,Medium
Spark Creative,10-20,London,spark-creative.com,https://linkedin.com/company/spark-creative,Director,Brand activations/Events,Low
Wallace House Events,10-20,London,wallacehouseevents.com,https://linkedin.com/company/wallace-house-events,Director,Corporate events/venues,Low
